 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.016,131.189,42.839,38,254,5.182,0.685,5.179,0.684,0.180,0.116,121.679,0
2,0.024,133.596,43.433,34,254,7.351,0.726,7.349,0.729,0.229,0.135,43.132,0
3,0.012,93.554,29.881,34,195,1.952,0.801,1.950,0.799,0.158,0.095,101.816,0
4,0.002,87.320,24.371,46,156,2.171,0.778,2.170,0.778,0.068,0.046,103.761,0
5,0.006,111.526,35.968,39,227,5.141,0.808,5.139,0.808,0.095,0.082,79.229,0
6,0.002,90.742,23.111,35,161,1.400,0.860,1.400,0.860,0.053,0.049,165.323,0
7,0.004,91.207,23.533,41,148,3.578,0.870,3.578,0.871,0.102,0.053,11.302,0
8,0.011,87.114,26.660,30,198,3.663,0.960,3.665,0.959,0.168,0.080,27.934,0
9,0.021,101.923,26.532,34,207,5.556,1.056,5.557,1.058,0.230,0.119,47.755,0
10,0.004,93.897,27.360,31,190,1.495,1.013,1.495,1.015,0.085,0.061,58.296,0
11,0.023,101.683,29.668,30,254,4.178,1.070,4.178,1.069,0.230,0.126,31.617,0
12,0.022,105.573,32.042,38,254,0.745,1.117,0.745,1.117,0.183,0.155,109.668,0
13,0.003,77.117,18.036,33,135,1.432,1.112,1.433,1.112,0.071,0.059,152.102,0
14,0.002,87.456,24.955,39,169,1.330,1.113,1.330,1.112,0.058,0.041,168.719,0
15,0.023,103.541,31.552,33,254,3.767,1.273,3.771,1.270,0.230,0.129,64.155,0
16,0.022,97.590,31.441,30,248,1.062,1.282,1.063,1.282,0.191,0.149,13.529,0
17,0.017,100.083,25.782,38,194,6.333,1.323,6.332,1.325,0.183,0.117,131.863,0
18,0.027,137.047,43.487,30,254,7.776,1.346,7.775,1.345,0.227,0.153,127.297,0
19,0.012,96.638,32.825,38,215,5.767,1.422,5.766,1.422,0.212,0.070,52.084,0
20,0.009,98.396,29.252,37,226,6.208,1.402,6.207,1.401,0.117,0.093,95.709,0
21,0.025,107.377,31.468,39,219,3.280,1.477,3.280,1.476,0.239,0.134,31.003,0
22,0.022,111.067,35.917,31,254,4.446,1.559,4.446,1.557,0.245,0.114,13.029,0
23,0.010,84.450,23.747,26,179,5.891,1.569,5.889,1.569,0.173,0.073,76.697,0
