 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.044,64.477,30.830,0,188,1.381,0.379,1.383,0.379,0.250,0.225,108.922,0
2,0.035,67.658,27.561,0,191,8.230,0.464,8.230,0.465,0.223,0.201,83.425,0
3,0.050,76.330,36.590,4,238,2.506,0.580,2.511,0.584,0.259,0.245,156.860,0
4,0.046,63.455,31.105,0,196,0.850,0.634,0.847,0.633,0.267,0.221,146.134,0
5,0.047,63.253,29.671,0,209,5.149,0.667,5.150,0.663,0.262,0.227,124.637,0
6,0.036,72.023,23.870,20,192,4.807,0.653,4.809,0.654,0.222,0.206,106.298,0
7,0.049,58.297,31.502,0,222,1.475,0.837,1.475,0.834,0.259,0.242,12.244,0
8,0.035,72.084,27.389,22,188,7.057,0.868,7.057,0.873,0.233,0.193,87.116,0
9,0.048,71.886,30.900,4,209,4.260,0.917,4.258,0.918,0.266,0.231,55.004,0
10,0.050,58.996,25.727,3,191,4.644,0.979,4.642,0.980,0.262,0.243,112.849,0
11,0.042,67.629,28.364,7,192,5.774,1.135,5.778,1.140,0.270,0.198,73.330,0
12,0.040,68.892,31.201,0,230,0.874,1.181,0.869,1.182,0.237,0.214,41.340,0
13,0.042,73.136,31.730,6,227,1.258,1.185,1.257,1.189,0.242,0.219,115.027,0
14,0.042,71.994,33.796,2,195,0.490,1.202,0.489,1.204,0.261,0.202,123.756,0
15,0.041,71.137,26.394,18,232,4.388,1.308,4.388,1.303,0.262,0.200,138.985,0
16,0.033,108.764,41.808,19,254,2.221,1.320,2.217,1.320,0.235,0.182,131.474,0
17,0.047,60.966,33.258,0,196,6.434,1.354,6.427,1.362,0.258,0.231,71.785,0
18,0.047,81.106,36.932,3,223,3.755,1.365,3.759,1.362,0.291,0.208,176.227,0
19,0.045,72.000,29.830,0,207,1.595,1.467,1.597,1.467,0.285,0.202,45.091,0
20,0.040,90.424,36.569,10,254,2.530,1.489,2.532,1.484,0.324,0.155,34.536,0
21,0.049,84.427,39.429,3,254,3.266,1.475,3.263,1.475,0.254,0.243,15.297,0
22,0.042,77.261,34.509,6,243,1.191,1.514,1.192,1.513,0.248,0.215,55.316,0
23,0.039,82.396,35.287,23,246,0.759,1.571,0.758,1.574,0.253,0.197,111.652,0
24,0.054,58.877,34.905,0,223,5.519,1.602,5.517,1.605,0.265,0.259,46.443,0
25,0.037,74.784,28.270,7,203,8.124,1.653,8.122,1.652,0.227,0.205,17.777,0
26,0.041,88.479,36.522,15,247,4.063,1.669,4.065,1.667,0.229,0.226,137.305,0
27,0.046,76.956,32.839,4,222,1.953,1.704,1.949,1.704,0.251,0.233,168.073,0
28,0.043,86.503,34.672,15,235,2.617,1.778,2.616,1.776,0.293,0.186,172.423,0
29,0.048,73.201,29.520,18,231,3.708,1.877,3.710,1.874,0.254,0.239,153.632,0
30,0.042,83.731,33.424,8,234,2.420,2.020,2.418,2.020,0.246,0.218,104.925,0
31,0.043,78.755,28.645,11,254,5.704,2.059,5.706,2.060,0.259,0.214,168.565,0
32,0.039,84.430,33.671,14,222,5.311,2.129,5.308,2.128,0.263,0.188,4.957,0
33,0.047,75.609,33.068,2,235,4.105,2.195,4.104,2.196,0.285,0.209,71.431,0
34,0.038,79.215,31.277,20,224,6.161,2.259,6.161,2.256,0.271,0.180,56.291,0
35,0.019,72.094,32.959,19,241,3.681,2.319,3.685,2.317,0.252,0.096,97.164,0
36,0.051,70.878,36.141,0,246,2.756,2.320,2.758,2.325,0.283,0.227,134.649,0
37,0.020,76.124,32.876,18,226,3.825,2.332,3.824,2.334,0.267,0.096,95.260,0
38,0.056,62.673,33.597,0,215,3.139,2.383,3.147,2.382,0.316,0.225,120.191,0
39,0.046,71.181,35.434,0,230,5.609,2.421,5.604,2.427,0.254,0.231,97.726,0
40,0.046,81.992,40.552,0,254,2.183,2.418,2.185,2.408,0.251,0.232,177.111,0
41,0.038,83.947,32.462,18,247,6.568,2.403,6.566,2.400,0.280,0.174,156.545,0
42,0.045,75.351,33.229,19,254,7.068,2.506,7.066,2.497,0.254,0.225,118.813,0
43,0.043,68.107,28.688,0,209,8.174,2.524,8.173,2.528,0.295,0.186,73.476,0
44,0.041,86.945,33.704,14,254,0.244,2.620,0.244,2.624,0.262,0.200,160.395,0
45,0.044,75.054,33.489,0,228,3.684,2.693,3.685,2.698,0.282,0.199,102.591,0
46,0.049,71.318,36.308,0,254,2.697,2.695,2.701,2.700,0.291,0.214,140.971,0
47,0.046,67.254,34.058,0,250,5.807,2.761,5.807,2.761,0.269,0.220,64.591,0
48,0.042,80.360,32.732,10,234,6.667,2.777,6.675,2.774,0.310,0.173,178.124,0
49,0.051,75.191,35.775,3,254,1.979,2.895,1.975,2.891,0.266,0.244,140.421,0
50,0.051,67.998,34.885,0,220,4.738,2.934,4.732,2.939,0.264,0.245,11.064,0
51,0.040,82.012,38.386,0,241,4.009,3.048,4.009,3.042,0.243,0.210,109.144,0
52,0.044,75.837,32.254,6,245,5.070,3.122,5.071,3.123,0.253,0.223,76.871,0
53,0.044,79.286,35.565,3,250,6.442,3.137,6.440,3.136,0.249,0.226,51.650,0
54,0.043,74.451,37.468,0,254,6.813,3.171,6.815,3.172,0.251,0.221,2.039,0
55,0.046,67.967,33.747,0,215,5.751,3.212,5.755,3.213,0.251,0.231,169.169,0
56,0.052,79.964,42.866,2,254,0.192,3.233,0.197,3.236,0.268,0.247,105.779,0
57,0.044,76.804,36.057,0,246,3.079,3.249,3.080,3.251,0.250,0.226,17.402,0
58,0.049,91.195,42.461,4,254,0.839,3.317,0.842,3.318,0.291,0.213,179.956,0
59,0.038,110.263,44.228,20,254,1.429,3.396,1.431,3.398,0.239,0.201,170.469,0
60,0.050,68.528,32.345,0,223,2.590,3.438,2.589,3.440,0.269,0.235,107.553,0
61,0.048,88.157,45.015,2,254,0.474,3.453,0.476,3.454,0.278,0.221,71.629,0
62,0.051,89.163,40.238,7,254,3.510,3.531,3.513,3.536,0.301,0.217,71.553,0
63,0.039,82.745,32.813,10,222,6.533,3.510,6.531,3.511,0.254,0.197,120.435,0
64,0.045,78.017,34.493,0,222,5.366,3.550,5.369,3.553,0.243,0.234,65.586,0
65,0.057,77.689,41.830,0,254,1.301,3.625,1.306,3.625,0.278,0.262,173.128,0
66,0.048,66.504,36.519,2,224,3.125,3.686,3.125,3.686,0.256,0.238,151.934,0
67,0.080,74.825,30.245,19,226,5.629,3.930,5.623,3.933,0.488,0.208,75.496,0
68,0.065,74.000,40.067,0,254,0.403,3.878,0.408,3.876,0.296,0.279,169.509,0
69,0.055,73.347,34.964,0,207,4.922,3.881,4.918,3.882,0.272,0.257,113.707,0
70,0.049,62.305,34.362,0,220,7.466,3.910,7.468,3.914,0.257,0.244,72.645,0
71,0.040,70.153,32.374,2,230,7.879,3.971,7.879,3.970,0.279,0.184,66.304,0
72,0.045,82.181,33.376,0,254,1.875,3.977,1.870,3.978,0.266,0.214,168.272,0
73,0.049,66.505,35.748,0,209,3.033,4.240,3.032,4.243,0.284,0.220,157.270,0
74,0.046,72.169,38.964,3,254,6.697,4.245,6.698,4.248,0.267,0.221,19.665,0
75,0.047,79.017,35.945,6,226,1.523,4.264,1.520,4.264,0.262,0.228,58.902,0
76,0.101,117.007,43.650,20,254,5.213,4.380,5.216,4.378,0.415,0.311,38.492,0
77,0.046,78.995,34.873,10,254,4.046,4.354,4.049,4.352,0.281,0.206,67.938,0
78,0.059,86.675,36.396,12,254,0.266,4.356,0.268,4.355,0.289,0.258,3.250,0
79,0.046,94.773,39.573,15,254,0.699,4.389,0.698,4.389,0.299,0.195,0.299,0
80,0.059,75.152,45.140,0,254,1.153,4.421,1.149,4.424,0.314,0.238,38.511,0
81,0.044,86.548,45.889,0,254,5.774,4.480,5.777,4.481,0.274,0.203,160.243,0
82,0.061,63.008,35.912,0,254,4.421,4.640,4.418,4.642,0.289,0.271,160.838,0
83,0.042,93.389,42.809,10,254,4.731,4.652,4.729,4.652,0.260,0.208,107.799,0
84,0.047,78.996,33.168,7,219,1.442,4.649,1.444,4.650,0.266,0.224,142.840,0
85,0.053,83.992,39.236,10,254,0.761,4.679,0.760,4.680,0.300,0.224,2.135,0
86,0.046,70.270,34.947,0,219,3.491,4.805,3.490,4.799,0.257,0.230,142.435,0
