 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.019,158.703,41.259,76,254,8.180,0.826,8.179,0.824,0.163,0.149,109.675,0
2,0.026,186.722,50.791,57,254,2.576,0.869,2.572,0.872,0.200,0.168,103.232,0
3,0.021,169.321,43.786,67,254,4.086,1.016,4.088,1.016,0.218,0.122,86.652,0
4,0.025,158.546,34.419,74,254,6.864,1.147,6.864,1.148,0.189,0.169,105.831,0
5,0.024,163.309,45.213,72,254,5.944,1.149,5.943,1.147,0.197,0.153,125.561,0
6,0.050,164.891,40.202,57,254,3.100,1.244,3.100,1.245,0.335,0.191,6.111,0
7,0.036,190.519,49.187,51,254,1.136,1.385,1.136,1.385,0.327,0.139,49.865,0
8,0.025,148.203,38.036,66,254,6.547,1.500,6.546,1.498,0.224,0.143,83.036,0
9,0.018,186.658,47.663,62,254,2.139,1.519,2.139,1.519,0.156,0.144,50.493,0
10,0.024,173.609,41.749,70,254,0.460,1.701,0.460,1.701,0.189,0.162,62.735,0
11,0.024,160.342,40.825,65,254,1.220,1.715,1.219,1.716,0.205,0.152,101.114,0
12,0.021,174.308,45.594,73,254,2.741,1.737,2.742,1.738,0.200,0.135,11.981,0
13,0.025,167.678,39.587,66,254,4.529,1.885,4.529,1.886,0.184,0.170,87.027,0
14,0.024,150.002,41.316,70,254,7.589,1.992,7.589,1.991,0.197,0.156,102.353,0
15,0.020,195.355,52.014,62,254,1.379,2.251,1.380,2.250,0.167,0.151,6.103,0
16,0.025,176.756,48.277,70,254,2.048,2.528,2.048,2.529,0.191,0.169,10.822,0
17,0.023,193.231,48.855,61,254,2.874,2.539,2.874,2.541,0.182,0.157,58.084,0
18,0.019,188.190,50.261,62,254,4.525,2.549,4.527,2.546,0.164,0.146,148.508,0
19,0.019,193.484,45.338,65,254,5.405,2.553,5.403,2.554,0.170,0.142,8.331,0
20,0.018,175.822,48.988,65,254,7.129,2.655,7.129,2.655,0.156,0.150,164.804,0
21,0.045,150.321,41.256,61,254,1.257,2.743,1.257,2.741,0.260,0.222,70.573,0
22,0.022,171.334,42.638,51,254,7.268,2.791,7.270,2.792,0.193,0.143,110.444,0
23,0.010,110.910,16.792,66,176,2.178,2.770,2.177,2.770,0.140,0.092,26.809,0
