 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.019,218.504,46.158,73,254,4.881,0.647,4.881,0.646,0.195,0.125,4.162,0
2,0.031,204.242,45.442,78,254,3.929,0.923,3.925,0.926,0.210,0.189,178.733,0
3,0.024,207.164,44.005,83,254,0.863,1.212,0.864,1.213,0.185,0.163,99.746,0
4,0.022,213.222,43.092,73,254,5.958,1.317,5.958,1.316,0.188,0.151,96.594,0
5,0.025,202.241,44.324,85,254,1.778,1.405,1.777,1.404,0.216,0.147,143.080,0
6,0.022,218.053,47.416,81,254,3.620,1.449,3.619,1.451,0.189,0.148,102.254,0
7,0.025,214.435,44.510,70,254,5.009,1.453,5.009,1.451,0.185,0.170,171.906,0
8,0.025,208.773,46.811,83,254,1.143,1.529,1.143,1.528,0.203,0.155,85.253,0
9,0.021,211.347,47.166,78,254,0.916,1.556,0.914,1.555,0.206,0.131,2.355,0
10,0.025,205.423,46.125,70,254,2.616,1.623,2.615,1.623,0.196,0.161,79.865,0
11,0.028,196.303,51.096,51,254,5.639,1.645,5.638,1.648,0.220,0.160,106.346,0
12,0.023,207.774,45.243,77,254,4.934,1.641,4.933,1.640,0.192,0.153,23.876,0
13,0.026,174.028,47.528,53,254,7.422,1.830,7.421,1.830,0.197,0.170,2.499,0
14,0.023,194.838,45.637,85,254,6.853,1.933,6.853,1.930,0.195,0.152,31.713,0
15,0.023,210.314,46.221,77,254,0.659,1.989,0.657,1.989,0.211,0.139,167.785,0
16,0.028,185.679,43.879,81,254,5.423,2.099,5.421,2.096,0.201,0.176,147.443,0
17,0.021,182.116,42.553,86,254,8.339,2.197,8.339,2.195,0.198,0.135,115.152,0
18,0.029,149.078,44.625,77,254,5.621,2.261,5.615,2.261,0.216,0.171,164.664,0
19,0.022,202.271,45.257,83,254,7.030,2.268,7.032,2.268,0.210,0.132,64.327,0
20,0.025,204.610,45.318,75,254,4.379,2.527,4.380,2.527,0.202,0.160,25.186,0
21,0.028,191.475,40.738,83,254,1.579,2.554,1.580,2.553,0.210,0.172,38.568,0
22,0.022,208.298,47.363,71,254,5.579,2.618,5.580,2.620,0.205,0.136,105.033,0
23,0.025,208.578,43.572,81,254,5.533,2.828,5.533,2.830,0.187,0.170,155.457,0
24,0.025,207.270,41.681,74,254,5.135,2.920,5.135,2.919,0.195,0.161,94.492,0
25,0.026,193.409,46.184,82,254,2.896,3.038,2.897,3.040,0.202,0.165,62.431,0
26,0.022,210.684,42.257,71,254,4.533,3.041,4.534,3.041,0.170,0.163,33.976,0
27,0.027,171.014,43.850,59,254,7.036,3.148,7.038,3.146,0.230,0.149,72.057,0
28,0.021,217.103,42.783,73,254,4.720,3.148,4.719,3.147,0.187,0.145,54.465,0
29,0.026,178.837,42.613,77,254,7.556,3.210,7.558,3.210,0.231,0.141,129.148,0
30,0.022,180.436,39.677,87,254,7.395,3.353,7.394,3.353,0.173,0.161,0.940,0
31,0.026,192.319,49.941,65,254,0.586,3.507,0.587,3.511,0.194,0.171,131.004,0
32,0.023,195.276,44.956,79,254,1.314,3.622,1.314,3.623,0.207,0.144,89.655,0
33,0.023,209.990,44.109,79,254,5.232,3.624,5.231,3.625,0.190,0.156,161.983,0
34,0.020,220.671,43.971,83,254,2.457,3.704,2.458,3.705,0.179,0.144,94.769,0
35,0.023,198.848,47.378,83,254,2.610,3.890,2.611,3.890,0.200,0.144,16.617,0
36,0.024,185.799,39.418,86,254,7.798,3.926,7.799,3.926,0.203,0.154,61.602,0
37,0.021,217.559,43.727,89,254,0.314,3.908,0.314,3.907,0.191,0.140,29.079,0
38,0.022,201.976,46.457,73,254,3.158,4.126,3.155,4.127,0.205,0.135,51.385,0
39,0.025,183.545,43.619,78,254,7.710,4.124,7.708,4.125,0.195,0.165,33.556,0
40,0.026,170.086,38.026,86,254,5.944,4.174,5.947,4.175,0.263,0.127,78.275,0
41,0.024,162.201,40.073,81,254,6.763,4.170,6.763,4.168,0.222,0.137,160.678,0
42,0.022,210.467,45.511,81,254,3.722,4.207,3.722,4.208,0.178,0.154,93.787,0
43,0.025,205.108,44.183,81,254,1.303,4.231,1.305,4.230,0.182,0.175,88.305,0
44,0.021,223.421,44.042,75,254,1.397,4.413,1.398,4.414,0.172,0.155,85.106,0
45,0.026,170.994,41.158,63,254,0.279,4.437,0.279,4.434,0.188,0.175,107.549,0
46,0.022,214.099,43.377,74,254,2.705,4.442,2.705,4.442,0.239,0.118,20.433,0
47,0.024,199.364,46.891,73,254,0.517,4.466,0.519,4.464,0.188,0.161,83.915,0
48,0.021,212.153,47.470,79,254,4.703,4.458,4.701,4.459,0.184,0.143,161.174,0
49,0.021,201.371,44.973,77,254,8.073,4.507,8.073,4.507,0.181,0.145,23.621,0
50,0.022,208.117,47.529,79,254,4.743,4.643,4.740,4.645,0.202,0.136,27.664,0
51,0.021,193.564,46.015,85,254,6.265,4.733,6.264,4.731,0.177,0.149,139.407,0
52,0.022,202.860,45.086,87,254,1.746,4.740,1.747,4.741,0.184,0.151,160.908,0
53,0.018,219.805,46.152,77,254,7.859,4.897,7.860,4.897,0.163,0.139,120.646,0
54,0.021,215.554,45.078,78,254,1.857,4.913,1.857,4.915,0.188,0.142,129.937,0
